priority_tier,priority_score,product_id,product_slug_label,product_name,brand,category,protein_g,current_url,new_proteinlab_url,affiliate_link_id,channel_id,status,priority_reason,recommended_action,notes
P2,61,kirkland-greek-plain-907,Kirkland Greek Plain 907,커클랜드 그릭요거트 플레인 907g,커클랜드,yogurt,90.7,https://www.coupang.com/vp/products/249357928?itemId=27274528793&vendorItemId=94241241790&q=%EC%BB%A4%ED%81%B4%EB%9E%9C%EB%93%9C+%EA%B7%B8%EB%A6%AD%EC%9A%94%EA%B1%B0%ED%8A%B8+%ED%94%8C%EB%A0%88%EC%9D%B8+907g&searchId=3cb3be2510324097&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mnpsedw1,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,lookt-icelandic-mild-450,Lookt Icelandic Mild 450,룩트 아이슬란딕 요거트 마일드 450g,룩트,yogurt,47.7,https://www.coupang.com/vp/products/6970727970?itemId=17002046702&vendorItemId=84178011603&q=%EB%A3%A9%ED%8A%B8+%EC%95%84%EC%9D%B4%EC%8A%AC%EB%9E%80%EB%94%95+%EC%9A%94%EA%B1%B0%ED%8A%B8+%EB%A7%88%EC%9D%BC%EB%93%9C+450g&searchId=979f614c2716210&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyvpyqr,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,lookt-icelandic-thick-450,Lookt Icelandic Thick 450,룩트 아이슬란딕 요거트 띠크 450g,룩트,yogurt,54,https://www.coupang.com/vp/products/6168224572?itemId=17002047120&vendorItemId=84178012869&pickType=COU_PICK&sourceType=srp_product_ads&clickEventId=e3d316e0-2458-11f1-974c-08ece94d0dc0&korePlacement=15&koreSubPlacement=1&clickEventId=e3d316e0-2458-11f1-974c-08ece94d0dc0&korePlacement=15&koreSubPlacement=1&traceId=mmyvq7rv,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,maeil-bio-greek-drink-banana-710,Maeil Bio Greek Drink Banana 710,매일 바이오 그릭요거트 Drink 바나나 710mL,매일 바이오,yogurt,31.02,https://www.coupang.com/vp/products/8700604294?itemId=25265378481&vendorItemId=92261189320&q=%EB%A7%A4%EC%9D%BC+%EB%B0%94%EC%9D%B4%EC%98%A4+%EA%B7%B8%EB%A6%AD%EC%9A%94%EA%B1%B0%ED%8A%B8+Drink+%EB%B0%94%EB%82%98%EB%82%98+710mL&searchId=0a74e16b4605105&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyvodf9,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,maeil-bio-greek-drink-plain-710,Maeil Bio Greek Drink Plain 710,매일 바이오 그릭요거트 Drink 플레인 710mL,매일 바이오,yogurt,31.02,https://www.coupang.com/vp/products/8700623491?itemId=25312670392&vendorItemId=92307757040&pickType=COU_PICK&q=%EB%A7%A4%EC%9D%BC%20%EB%B0%94%EC%9D%B4%EC%98%A4%20%EA%B7%B8%EB%A6%AD%EC%9A%94%EA%B1%B0%ED%8A%B8%20Drink%20%EB%AC%B4%EA%B0%80%EB%8B%B9%20%ED%94%8C%EB%A0%88%EC%9D%B8%20710mL&searchId=5bcf46ae610164&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyvo3pp,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,maeil-bio-greek-drink-unsweetened-710,Maeil Bio Greek Drink Unsweetened 710,매일 바이오 그릭요거트 Drink 무가당 플레인 710mL,매일 바이오,yogurt,31.02,https://www.coupang.com/vp/products/8700623491?itemId=25312670392&vendorItemId=92307757040&pickType=COU_PICK&q=매일%20바이오%20그릭요거트%20Drink%20무가당%20플레인%20710mL&searchId=5bcf46ae610164&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyvmmqv,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,maeil-bio-greek-plain-400,Maeil Bio Greek Plain 400,매일 바이오 그릭요거트 플레인 400g,매일 바이오,yogurt,24,https://www.coupang.com/vp/products/8787833517?itemId=25584183005&vendorItemId=92575077399&q=%EB%A7%A4%EC%9D%BC+%EB%B0%94%EC%9D%B4%EC%98%A4+%EA%B7%B8%EB%A6%AD%EC%9A%94%EA%B1%B0%ED%8A%B8+%ED%94%8C%EB%A0%88%EC%9D%B8+400g&searchId=742a939a4557970&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mmyvk3on,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,maeil-bio-greek-unsweetened-400,Maeil Bio Greek Unsweetened 400,매일 바이오 그릭요거트 무가당 플레인 400g,매일 바이오,yogurt,28,https://www.coupang.com/vp/products/6809405272?itemId=18633943476&vendorItemId=91144871051&q=매일%20바이오%20그릭요거트%20무가당%20플레인%20400g&searchId=7740856a2369855&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyvi6zb,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,maeil-bio-greek-unsweetened-800,Maeil Bio Greek Unsweetened 800,매일 바이오 그릭요거트 무가당 플레인 800g,매일 바이오,yogurt,56,https://www.coupang.com/vp/products/7216495213?itemId=19225557711&vendorItemId=86342201460&pickType=COU_PICK&q=%EB%A7%A4%EC%9D%BC+%EB%B0%94%EC%9D%B4%EC%98%A4+%EA%B7%B8%EB%A6%AD%EC%9A%94%EA%B1%B0%ED%8A%B8+%EB%AC%B4%EA%B0%80%EB%8B%B9+%ED%94%8C%EB%A0%88%EC%9D%B8+800g&searchId=ad54a40d2539559&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyvjg1x,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,sangha-organic-greek-unsweetened-400,Sangha Organic Greek Unsweetened 400,상하목장 유기농 그릭요거트 무가당 플레인 400g,상하목장,yogurt,27.5,https://www.coupang.com/vp/products/8566052890?itemId=25438448255&vendorItemId=93564298776&q=상하목장%20유기농%20그릭요거트%20무가당%20플레인%20400g&searchId=4b1d09ce4528725&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyvf244,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
